name,condition,sector,account_type,account_category,notes,model_name,model_family,experiment_role,acf1,cv,trend_strength,seasonality_strength,n_weeks,n_externals_selected,mae_baseline,mae_with_externals,r2_baseline,r2_with_externals,rmse_baseline,rmse_with_externals,rmse_lift_pct,mae_lift_pct,r2_gain
EXP4_RET_005,E_missing20,retail,normal,D_volatile,retail|E_missing20,rf,ml,calibration,0.0,0.4626957485924887,0.016583991645512317,0.03609724765957643,104,0,16006.739850100455,,-1.1450570182997275,,20514.73583058853,,,,
EXP4_RET_005,E_missing20,retail,normal,D_volatile,retail|E_missing20,rf,ml,calibration,0.0,0.4626957485924887,0.016583991645512317,0.03609724765957643,104,9,,15347.203970094139,,-0.8002805771268212,,18648.03810740743,,,
EXP4_RET_005,E_missing20,retail,normal,D_volatile,retail|E_missing20,ridge,ml,calibration,0.0,0.4626957485924887,0.016583991645512317,0.03609724765957643,104,0,15855.15402308254,,-1.1270383877402042,,19509.77608672894,,,,
EXP4_RET_005,E_missing20,retail,normal,D_volatile,retail|E_missing20,ridge,ml,calibration,0.0,0.4626957485924887,0.016583991645512317,0.03609724765957643,104,9,,15092.559267687486,,-0.6180467393922298,,17630.185046832983,,,
EXP4_RET_005,E_missing20,retail,normal,D_volatile,retail|E_missing20,sarima,statistical,calibration,0.0,0.4626957485924887,0.016583991645512317,0.03609724765957643,104,0,14319.113353755332,,-0.46840160887515425,,18241.181177918126,,,,
EXP4_RET_005,E_missing20,retail,normal,D_volatile,retail|E_missing20,sarima,statistical,calibration,0.0,0.4626957485924887,0.016583991645512317,0.03609724765957643,104,5,,20828.40619200017,,-2.1885744944635706,,25770.269699327066,,,
EXP4_RET_006,A_perfect,retail,normal,D_volatile,retail|A_perfect,holt_winters,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,18031.97176061785,,-0.41580983019248485,,20641.51055108299,,,,
EXP4_RET_006,A_perfect,retail,normal,D_volatile,retail|A_perfect,holt_winters,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,7,,15223.173634577748,,-0.04873812550482959,,18346.3402736889,,,
EXP4_RET_006,A_perfect,retail,normal,D_volatile,retail|A_perfect,lgbm,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,16118.75771446711,,-1.3920483713607126,,19734.003384832544,,,,
EXP4_RET_006,A_perfect,retail,normal,D_volatile,retail|A_perfect,lgbm,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,9,,14237.38076189415,,-0.44207572839503034,,17390.618224273087,,,
EXP4_RET_006,A_perfect,retail,normal,D_volatile,retail|A_perfect,rf,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,15329.193063095221,,-0.766409090653355,,18569.34368940671,,,,
EXP4_RET_006,A_perfect,retail,normal,D_volatile,retail|A_perfect,rf,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,9,,14520.291875914123,,-0.3563361892683457,,17700.083909943427,,,
EXP4_RET_006,A_perfect,retail,normal,D_volatile,retail|A_perfect,ridge,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,15854.79896125445,,-0.8198133564703154,,19006.410329493116,,,,
EXP4_RET_006,A_perfect,retail,normal,D_volatile,retail|A_perfect,ridge,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,9,,13870.6451442753,,-0.35656548093732127,,16875.42273101419,,,
EXP4_RET_006,A_perfect,retail,normal,D_volatile,retail|A_perfect,sarima,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,14699.30008991691,,-0.011628962814801247,,17427.868839459323,,,,
EXP4_RET_006,A_perfect,retail,normal,D_volatile,retail|A_perfect,sarima,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,7,,17489.65205097045,,-1.4223701735403673,,20038.794878289984,,,
EXP4_RET_006,B_lag1w,retail,normal,D_volatile,retail|B_lag1w,holt_winters,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,18031.97176061785,,-0.41580983019248485,,20641.51055108299,,,,
EXP4_RET_006,B_lag1w,retail,normal,D_volatile,retail|B_lag1w,holt_winters,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,7,,15666.939452090686,,-0.20338629918167145,,19676.970745645234,,,
EXP4_RET_006,B_lag1w,retail,normal,D_volatile,retail|B_lag1w,lgbm,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,16118.75771446711,,-1.3920483713607126,,19734.003384832544,,,,
EXP4_RET_006,B_lag1w,retail,normal,D_volatile,retail|B_lag1w,lgbm,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,8,,14181.928741568225,,-0.626903363127027,,18097.201582308855,,,
EXP4_RET_006,B_lag1w,retail,normal,D_volatile,retail|B_lag1w,rf,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,15329.193063095221,,-0.7664090906533553,,18569.34368940671,,,,
EXP4_RET_006,B_lag1w,retail,normal,D_volatile,retail|B_lag1w,rf,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,8,,14492.293800066496,,-0.33003510800140196,,17314.6777088951,,,
EXP4_RET_006,B_lag1w,retail,normal,D_volatile,retail|B_lag1w,ridge,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,15854.79896125445,,-0.8198133564703154,,19006.410329493116,,,,
EXP4_RET_006,B_lag1w,retail,normal,D_volatile,retail|B_lag1w,ridge,ml,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,8,,13900.909683833408,,-0.4691052460405279,,17481.331770458088,,,
EXP4_RET_006,B_lag1w,retail,normal,D_volatile,retail|B_lag1w,sarima,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,14699.30008991691,,-0.011628962814801247,,17427.868839459323,,,,
EXP4_RET_006,B_lag1w,retail,normal,D_volatile,retail|B_lag1w,sarima,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,7,,15761.489195490025,,-0.8600644154470707,,18579.21505329465,,,
EXP4_RET_006,C_lag3w,retail,normal,D_volatile,retail|C_lag3w,holt_winters,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,0,18031.97176061785,,-0.41580983019248485,,20641.51055108299,,,,
EXP4_RET_006,C_lag3w,retail,normal,D_volatile,retail|C_lag3w,holt_winters,statistical,calibration,0.0,0.49823359698094666,0.1713676320665355,0.07468664577832101,104,7,,17618.05803428794,,-0.4183644298058584,,20920.06071715513,,,
